# package_abi	build_class	delivery_status
# Exact Package ABI keys only. No prefix/wildcard fallback is permitted.
aarch64_armv8-a	aarch64	cross-candidate
aarch64_cortex-a53	aarch64	cross-candidate
aarch64_cortex-a72	aarch64	cross-candidate
aarch64_cortex-a76	aarch64	cross-candidate
aarch64_generic	aarch64	cross-candidate
arc_arc700	sdk_arc	sdk-required
arc_archs	sdk_arc	sdk-required
arm_arm1176jzf-s_vfp	armv6_le	cross-candidate
arm_arm926ej-s	sdk_armv5_le	sdk-required
arm_cortex-a15_neon-vfpv4	armv7_le	cross-candidate
arm_cortex-a5	armv7_le	cross-candidate
arm_cortex-a53_neon-vfpv4	armv7_le	cross-candidate
arm_cortex-a5_neon-vfpv4	armv7_le	cross-candidate
arm_cortex-a5_vfpv4	armv7_le	cross-candidate
arm_cortex-a7	armv7_le	cross-candidate
arm_cortex-a7_neon-vfpv4	armv7_le	cross-candidate
arm_cortex-a7_vfpv4	armv7_le	cross-candidate
arm_cortex-a8_neon	armv7_le	cross-candidate
arm_cortex-a8_vfpv3	armv7_le	cross-candidate
arm_cortex-a9	armv7_le	cross-candidate
arm_cortex-a9_neon	armv7_le	cross-candidate
arm_cortex-a9_vfpv3	armv7_le	cross-candidate
arm_cortex-a9_vfpv3-d16	armv7_le	cross-candidate
arm_fa526	sdk_armv4	sdk-required
arm_mpcore	armv6_le	cross-candidate
arm_mpcore_vfp	armv6_le	cross-candidate
arm_xscale	sdk_armv5_le	sdk-required
armeb_xscale	sdk_armv5_be	sdk-required
i386_geode	x86_i486	cross-candidate
i386_i486	x86_i486	cross-candidate
i386_pentium	x86_i486	cross-candidate
i386_pentium-mmx	x86_i486	cross-candidate
i386_pentium4	x86_i486	cross-candidate
loongarch64_generic	loongarch64	sdk-required
mips64_mips64r2	mips64_be	cross-candidate
mips64_octeon	mips64_be	cross-candidate
mips64_octeonplus	mips64_be	cross-candidate
mips64el_mips64r2	mips64_le	cross-candidate
mips_24kc	mips32_be	cross-candidate
mips_4kec	mips32_be	cross-candidate
mips_mips32	mips32_be	cross-candidate
mipsel_24kc	mips32_le	cross-candidate
mipsel_24kc_24kf	mips32_le	cross-candidate
mipsel_74kc	mips32_le	cross-candidate
mipsel_mips32	mips32_le	cross-candidate
powerpc64_e5500	powerpc64_be	sdk-required
powerpc_464fp	powerpc32_be	cross-candidate
powerpc_8540	powerpc32_be	cross-candidate
powerpc_8548	powerpc32_be	cross-candidate
riscv64_generic	riscv64	sdk-required
riscv64_riscv64	riscv64	sdk-required
x86_64	x86_64	cross-candidate
